x;y;u;v;column;row
0.185004;0.027403;0.000000;0.000000;0;0
0.202346;0.016510;0.031250;0.000000;1;0
0.220189;0.006109;0.062500;0.000000;2;0
0.238525;-0.003750;0.093750;0.000000;3;0
0.257342;-0.013013;0.125000;0.000000;4;0
0.276623;-0.021627;0.156250;0.000000;5;0
0.296350;-0.029540;0.187500;0.000000;6;0
0.316499;-0.036701;0.218750;0.000000;7;0
0.337042;-0.043058;0.250000;0.000000;8;0
0.357969;-0.048487;0.281250;0.000000;9;0
0.379255;-0.052911;0.312500;0.000000;10;0
0.400843;-0.056358;0.343750;0.000000;11;0
0.422671;-0.058857;0.375000;0.000000;12;0
0.444805;-0.060476;0.406250;0.000000;13;0
0.467137;-0.061250;0.437500;0.000000;14;0
0.489343;-0.061171;0.468750;0.000000;15;0
0.511097;-0.060240;0.500000;0.000000;16;0
0.531974;-0.058353;0.531250;0.000000;17;0
0.552220;-0.055511;0.562500;0.000000;18;0
0.572518;-0.051885;0.593750;0.000000;19;0
0.593551;-0.047651;0.625000;0.000000;20;0
0.615750;-0.042937;0.656250;0.000000;21;0
0.638522;-0.037638;0.687500;0.000000;22;0
0.661023;-0.031599;0.718750;0.000000;23;0
0.682410;-0.024669;0.750000;0.000000;24;0
0.702413;-0.016849;0.781250;0.000000;25;0
0.721473;-0.008315;0.812500;0.000000;26;0
0.739821;0.000821;0.843750;0.000000;27;0
0.757694;0.010445;0.875000;0.000000;28;0
0.775118;0.020493;0.906250;0.000000;29;0
0.791952;0.030939;0.937500;0.000000;30;0
0.808186;0.041732;0.968750;0.000000;31;0
0.823815;0.052819;1.000000;0.000000;32;0
0.179267;0.040303;0.000000;0.031250;0;1
0.196834;0.029245;0.031250;0.031250;1;1
0.214922;0.018659;0.062500;0.031250;2;1
0.233525;0.008599;0.093750;0.031250;3;1
0.252629;-0.000879;0.125000;0.031250;4;1
0.272222;-0.009718;0.156250;0.031250;5;1
0.292283;-0.017863;0.187500;0.031250;6;1
0.312784;-0.025256;0.218750;0.031250;7;1
0.333694;-0.031845;0.250000;0.031250;8;1
0.355000;-0.037507;0.281250;0.031250;9;1
0.376677;-0.042165;0.312500;0.031250;10;1
0.398674;-0.045835;0.343750;0.031250;11;1
0.420936;-0.048540;0.375000;0.031250;12;1
0.443513;-0.050338;0.406250;0.031250;13;1
0.466288;-0.051256;0.437500;0.031250;14;1
0.488956;-0.051282;0.468750;0.031250;15;1
0.511211;-0.050411;0.500000;0.031250;16;1
0.532663;-0.048545;0.531250;0.031250;17;1
0.553525;-0.045689;0.562500;0.031250;18;1
0.574388;-0.042011;0.593750;0.031250;19;1
0.595843;-0.037686;0.625000;0.031250;20;1
0.618262;-0.032838;0.656250;0.031250;21;1
0.641127;-0.027373;0.687500;0.031250;22;1
0.663702;-0.021145;0.718750;0.031250;23;1
0.685258;-0.014011;0.750000;0.031250;24;1
0.705550;-0.005979;0.781250;0.031250;25;1
0.724950;0.002775;0.812500;0.031250;26;1
0.743654;0.012137;0.843750;0.031250;27;1
0.761865;0.021991;0.875000;0.031250;28;1
0.779601;0.032269;0.906250;0.031250;29;1
0.796740;0.042944;0.937500;0.031250;30;1
0.813272;0.053957;0.968750;0.031250;31;1
0.829193;0.065257;1.000000;0.031250;32;1
0.173342;0.053809;0.000000;0.062500;0;2
0.191130;0.042568;0.031250;0.062500;1;2
0.209462;0.031779;0.062500;0.062500;2;2
0.228331;0.021499;0.093750;0.062500;3;2
0.247725;0.011788;0.125000;0.062500;4;2
0.267632;0.002706;0.156250;0.062500;5;2
0.288032;-0.005688;0.187500;0.062500;6;2
0.308894;-0.013333;0.218750;0.062500;7;2
0.330180;-0.020170;0.250000;0.062500;8;2
0.351874;-0.026081;0.281250;0.062500;9;2
0.373953;-0.030985;0.312500;0.062500;10;2
0.396374;-0.034890;0.343750;0.062500;11;2
0.419085;-0.037811;0.375000;0.062500;12;2
0.442122;-0.039796;0.406250;0.062500;13;2
0.465361;-0.040863;0.437500;0.062500;14;2
0.488514;-0.040996;0.468750;0.062500;15;2
0.511287;-0.040186;0.500000;0.062500;16;2
0.533329;-0.038338;0.531250;0.062500;17;2
0.554819;-0.035465;0.562500;0.062500;18;2
0.576261;-0.031729;0.593750;0.062500;19;2
0.598164;-0.027303;0.625000;0.062500;20;2
0.620839;-0.022313;0.656250;0.062500;21;2
0.643838;-0.016670;0.687500;0.062500;22;2
0.666527;-0.010239;0.718750;0.062500;23;2
0.688276;-0.002888;0.750000;0.062500;24;2
0.708869;0.005370;0.781250;0.062500;25;2
0.728612;0.014358;0.812500;0.062500;26;2
0.747668;0.023959;0.843750;0.062500;27;2
0.766207;0.034056;0.875000;0.062500;28;2
0.784245;0.044577;0.906250;0.062500;29;2
0.801674;0.055490;0.937500;0.062500;30;2
0.818486;0.066735;0.968750;0.062500;31;2
0.834677;0.078256;1.000000;0.062500;32;2
0.167224;0.067960;0.000000;0.093750;0;3
0.185230;0.056520;0.031250;0.093750;1;3
0.203804;0.045511;0.062500;0.093750;2;3
0.222938;0.034994;0.093750;0.093750;3;3
0.242622;0.025032;0.125000;0.093750;4;3
0.262848;0.015687;0.156250;0.093750;5;3
0.283592;0.007026;0.187500;0.093750;6;3
0.304821;-0.000888;0.218750;0.093750;7;3
0.326493;-0.007992;0.250000;0.093750;8;3
0.348585;-0.014166;0.281250;0.093750;9;3
0.371079;-0.019331;0.312500;0.093750;10;3
0.393936;-0.023484;0.343750;0.093750;11;3
0.417112;-0.026631;0.375000;0.093750;12;3
0.440628;-0.028809;0.406250;0.093750;13;3
0.464354;-0.030031;0.437500;0.093750;14;3
0.488013;-0.030274;0.468750;0.093750;15;3
0.511325;-0.029525;0.500000;0.093750;16;3
