x;y;u;v;column;row
-0.005014;0.271423;0.000000;0.000000;0;0
0.015022;0.244592;0.031250;0.000000;1;0
0.036568;0.217230;0.062500;0.000000;2;0
0.059716;0.189509;0.093750;0.000000;3;0
0.084548;0.161641;0.125000;0.000000;4;0
0.111137;0.133848;0.156250;0.000000;5;0
0.139538;0.106434;0.187500;0.000000;6;0
0.169784;0.079794;0.218750;0.000000;7;0
0.201882;0.054363;0.250000;0.000000;8;0
0.235911;0.030561;0.281250;0.000000;9;0
0.271849;0.008723;0.312500;0.000000;10;0
0.309479;-0.010817;0.343750;0.000000;11;0
0.348536;-0.027735;0.375000;0.000000;12;0
0.388705;-0.041682;0.406250;0.000000;13;0
0.429623;-0.052134;0.437500;0.000000;14;0
0.470889;-0.058582;0.468750;0.000000;15;0
0.512072;-0.060617;0.500000;0.000000;16;0
0.552683;-0.058045;0.531250;0.000000;17;0
0.592407;-0.051056;0.562500;0.000000;18;0
0.631070;-0.039980;0.593750;0.000000;19;0
0.668529;-0.025240;0.625000;0.000000;20;0
0.704679;-0.007289;0.656250;0.000000;21;0
0.739466;0.013404;0.687500;0.000000;22;0
0.772882;0.036309;0.718750;0.000000;23;0
0.804972;0.060884;0.750000;0.000000;24;0
0.835587;0.086752;0.781250;0.000000;25;0
0.864510;0.113625;0.812500;0.000000;26;0
0.891751;0.141128;0.843750;0.000000;27;0
0.917343;0.168927;0.875000;0.000000;28;0
0.941346;0.196729;0.906250;0.000000;29;0
0.963832;0.224287;0.937500;0.000000;30;0
0.984885;0.251390;0.968750;0.000000;31;0
1.004596;0.277868;1.000000;0.000000;32;0
-0.006804;0.288988;0.000000;0.031250;0;1
0.013073;0.262101;0.031250;0.031250;1;1
0.034469;0.234635;0.062500;0.031250;2;1
0.057478;0.206760;0.093750;0.031250;3;1
0.082191;0.178685;0.125000;0.031250;4;1
0.108701;0.150639;0.156250;0.031250;5;1
0.137065;0.122926;0.187500;0.031250;6;1
0.167290;0.095936;0.218750;0.031250;7;1
0.199351;0.070099;0.250000;0.031250;8;1
0.233275;0.045832;0.281250;0.031250;9;1
0.269074;0.023500;0.312500;0.031250;10;1
0.306640;0.003490;0.343750;0.031250;11;1
0.345812;-0.013819;0.375000;0.031250;12;1
0.386338;-0.028073;0.406250;0.031250;13;1
0.427782;-0.038740;0.437500;0.031250;14;1
0.469637;-0.045285;0.468750;0.031250;15;1
0.511352;-0.047191;0.500000;0.031250;16;1
0.552372;-0.044029;0.531250;0.031250;17;1
0.592445;-0.036250;0.562500;0.031250;18;1
0.631440;-0.024654;0.593750;0.031250;19;1
0.669206;-0.009609;0.625000;0.031250;20;1
0.705635;0.008534;0.656250;0.031250;21;1
0.740623;0.029208;0.687500;0.031250;22;1
0.774117;0.051907;0.718750;0.031250;23;1
0.806245;0.076419;0.750000;0.031250;24;1
0.836920;0.102512;0.781250;0.031250;25;1
0.865887;0.129709;0.812500;0.031250;26;1
0.893139;0.157527;0.843750;0.031250;27;1
0.918719;0.185563;0.875000;0.031250;28;1
0.942690;0.213511;0.906250;0.031250;29;1
0.965133;0.241157;0.937500;0.031250;30;1
0.986139;0.268295;0.968750;0.031250;31;1
1.005803;0.294756;1.000000;0.031250;32;1
-0.008459;0.306977;0.000000;0.062500;0;2
0.011254;0.280064;0.031250;0.062500;1;2
0.032494;0.252524;0.062500;0.062500;2;2
0.055358;0.224523;0.093750;0.062500;3;2
0.079941;0.196268;0.125000;0.062500;4;2
0.106361;0.167993;0.156250;0.062500;5;2
0.134675;0.140003;0.187500;0.062500;6;2
0.164865;0.112680;0.218750;0.062500;7;2
0.196885;0.086455;0.250000;0.062500;8;2
0.230713;0.061743;0.281250;0.062500;9;2
0.266394;0.038937;0.312500;0.062500;10;2
0.303915;0.018473;0.343750;0.062500;11;2
0.343205;0.000779;0.375000;0.062500;12;2
0.384071;-0.013778;0.406250;0.062500;13;2
0.426010;-0.024658;0.437500;0.062500;14;2
0.468421;-0.031308;0.468750;0.062500;15;2
0.510646;-0.033124;0.500000;0.062500;16;2
0.552068;-0.029480;0.531250;0.062500;17;2
0.592490;-0.021052;0.562500;0.062500;18;2
0.631819;-0.009032;0.593750;0.062500;19;2
0.669894;0.006286;0.625000;0.062500;20;2
0.706597;0.024654;0.656250;0.062500;21;2
0.741781;0.045400;0.687500;0.062500;22;2
0.775357;0.068013;0.718750;0.062500;23;2
0.807522;0.092544;0.750000;0.062500;24;2
0.838248;0.118876;0.781250;0.062500;25;2
0.867246;0.146378;0.812500;0.062500;26;2
0.894496;0.174480;0.843750;0.062500;27;2
0.920049;0.202728;0.875000;0.062500;28;2
0.943975;0.230803;0.906250;0.062500;29;2
0.966363;0.258520;0.937500;0.062500;30;2
0.987309;0.285675;0.968750;0.062500;31;2
1.006912;0.312104;1.000000;0.062500;32;2
-0.009971;0.325392;0.000000;0.093750;0;3
0.009575;0.298483;0.031250;0.093750;1;3
0.030652;0.270899;0.062500;0.093750;2;3
0.053363;0.242803;0.093750;0.093750;3;3
0.077810;0.214399;0.125000;0.093750;4;3
0.104127;0.185922;0.156250;0.093750;5;3
0.132376;0.157679;0.187500;0.093750;6;3
0.162520;0.130047;0.218750;0.093750;7;3
0.194494;0.103455;0.250000;0.093750;8;3
0.228234;0.078321;0.281250;0.093750;9;3
0.263816;0.055063;0.312500;0.093750;10;3
0.301308;0.034162;0.343750;0.093750;11;3
0.340720;0.016091;0.375000;0.093750;12;3
0.381907;0.001237;0.406250;0.093750;13;3
0.424308;-0.009854;0.437500;0.093750;14;3
0.467241;-0.016617;0.468750;0.093750;15;3
0.509954;-0.018379;0.500000;0.093750;16;3
0.551768;-0.014364;0.531250;0.093750;17;3
0.592538;-0.005429;0.562500;0.093750;18;3
0.632205;0.006919;0.593750;0.093750;19;3
0.670589;0.022477;0.625000;0.093750;20;3
0.707558;0.041101;0.656250;0.093750;21;3
0.742933;0.062007;0.687500;0.093750;22;3
0.776593;0.084652;0.718750;0.093750;23;3
0.808797;0.109279;0.750000;0.093750;24;3
0.839564;0.135861;0.781250;0.093750;25;3
0.868579;0.163647;0.812500;0.093750;26;3
0.895813;0.192000;0.843750;0.093750;27;3
0.921326;0.220430;0.875000;0.093750;28;3
0.945193;0.248612;0.906250;0.093750;29;3
0.967513;0.276380;0.937500;0.093750;30;3
0.988385;0.303534;0.968750;0.093750;31;3
1.007915;0.329913;1.000000;0.093750;32;3
-0.011331;0.344231;0.000000;0.125000;0;4
0.008044;0.317359;0.031250;0.125000;1;4
0.028952;0.289765;0.062500;0.125000;2;4
0.051504;0.261607;0.093750;0.125000;3;4
0.075805;0.233086;0.125000;0.125000;4;4
0.102009;0.204438;0.156250;0.125000;5;4
0.130178;0.175969;0.187500;0.125000;6;4
0.160264;0.148053;0.218750;0.125000;7;4
0.192185;0.121120;0.250000;0.125000;8;4
0.225846;0.095589;0.281250;0.125000;9;4
0.261347;0.071906;0.312500;0.125000;10;4
0.298826;0.050588;0.343750;0.125000;11;4
0.338363;0.032150;0.375000;0.125000;12;4
0.379849;0.017006;0.406250;0.125000;13;4
0.422679;0.005708;0.437500;0.125000;14;4
0.466100;-0.001174;0.468750;0.125000;15;4
0.509276;-0.002920;0.500000;0.125000;16;4
0.551474;0.001358;0.531250;0.125000;17;4
0.592587;0.010656;0.562500;0.125000;18;4
0.632593;0.023236;0.593750;0.125000;19;4
0.671285;0.038998;0.625000;0.125000;20;4
0.708513;0.057905;0.656250;0.125000;21;4
0.744072;0.079058;0.687500;0.125000;22;4
0.777818;0.101849;0.718750;0.125000;23;4
0.810059;0.126648;0.750000;0.125000;24;4
0.840856;0.153487;0.781250;0.125000;25;4
0.869875;0.181530;0.812500;0.125000;26;4
0.897079;0.210097;0.843750;0.125000;27;4
0.922539;0.238678;0.875000;0.125000;28;4
0.946335;0.266943;0.906250;0.125000;29;4
0.968573;0.294740;0.937500;0.125000;30;4
0.989360;0.321872;0.968750;0.125000;31;4
1.008804;0.348184;1.000000;0.125000;32;4
-0.012532;0.363493;0.000000;0.156250;0;5
0.006665;0.336692;0.031250;0.156250;1;5
0.027398;0.309122;0.062500;0.156250;2;5
0.049782;0.280935;0.093750;0.156250;3;5
0.073928;0.252330;0.125000;0.156250;4;5
0.100004;0.223548;0.156250;0.156250;5;5
0.128078;0.194884;0.187500;0.156250;6;5
0.158091;0.166700;0.218750;0.156250;7;5
0.189953;0.139442;0.250000;0.156250;8;5
0.223548;0.113552;0.281250;0.156250;9;5
0.258988;0.089483;0.312500;0.156250;10;5
0.296467;0.067771;0.343750;0.156250;11;5
0.336124;0.048977;0.375000;0.156250;12;5
0.377895;0.033553;0.406250;0.156250;13;5
0.421123;0.022064;0.437500;0.156250;14;5
0.464994;0.015068;0.468750;0.156250;15;5
0.508604;0.013293;0.500000;0.156250;16;5
0.551165;0.017668;0.531250;0.156250;17;5
0.592616;0.027097;0.562500;0.156250;18;5
0.632971;0.039730;0.593750;0.156250;19;5
0.671982;0.055619;0.625000;0.156250;20;5
0.709462;0.074847;0.656250;0.156250;21;5
0.745196;0.096385;0.687500;0.156250;22;5
0.779028;0.119525;0.718750;0.156250;23;5
0.811302;0.144642;0.750000;0.156250;24;5
0.842109;0.171773;0.781250;0.156250;25;5
0.871107;0.200054;0.812500;0.156250;26;5
