x;y;u;v;column;row
0.381522;-0.114990;0.406250;0.093750;13;3
0.419386;-0.120791;0.437500;0.093750;14;3
0.457654;-0.124356;0.468750;0.093750;15;3
0.496135;-0.125803;0.500000;0.093750;16;3
0.534632;-0.125408;0.531250;0.093750;17;3
0.572939;-0.123065;0.562500;0.093750;18;3
0.610865;-0.118383;0.593750;0.093750;19;3
0.648225;-0.111010;0.625000;0.093750;20;3
0.684851;-0.100734;0.656250;0.093750;21;3
0.720591;-0.087793;0.687500;0.093750;22;3
0.755315;-0.072555;0.718750;0.093750;23;3
0.788916;-0.055404;0.750000;0.093750;24;3
0.821307;-0.036715;0.781250;0.093750;25;3
0.852427;-0.016676;0.812500;0.093750;26;3
0.882234;0.004616;0.843750;0.093750;27;3
0.910703;0.027068;0.875000;0.093750;28;3
0.937830;0.050508;0.906250;0.093750;29;3
0.963622;0.074710;0.937500;0.093750;30;3
0.988102;0.099511;0.968750;0.093750;31;3
1.011301;0.124768;1.000000;0.093750;32;3
-0.021125;0.137500;0.000000;0.125000;0;4
0.001870;0.113524;0.031250;0.125000;1;4
0.026178;0.089792;0.062500;0.125000;2;4
0.051834;0.066451;0.093750;0.125000;3;4
0.078866;0.043667;0.125000;0.125000;4;4
0.107286;0.021621;0.156250;0.125000;5;4
0.137093;0.000507;0.187500;0.125000;6;4
0.168267;-0.019465;0.218750;0.125000;7;4
0.200768;-0.038080;0.250000;0.125000;8;4
0.234527;-0.055046;0.281250;0.125000;9;4
0.269456;-0.070114;0.312500;0.125000;10;4
0.305449;-0.083137;0.343750;0.125000;11;4
0.342379;-0.093978;0.375000;0.125000;12;4
0.380094;-0.102475;0.406250;0.125000;13;4
0.418424;-0.108564;0.437500;0.125000;14;4
0.457181;-0.112301;0.468750;0.125000;15;4
0.496168;-0.113783;0.500000;0.125000;16;4
0.535172;-0.113259;0.531250;0.125000;17;4
0.573978;-0.110634;0.562500;0.125000;18;4
0.612382;-0.105555;0.593750;0.125000;19;4
0.650188;-0.097709;0.625000;0.125000;20;4
0.687220;-0.086920;0.656250;0.125000;21;4
0.723319;-0.073454;0.687500;0.125000;22;4
0.758350;-0.057701;0.718750;0.125000;23;4
0.792203;-0.040067;0.750000;0.125000;24;4
0.824790;-0.020928;0.781250;0.125000;25;4
0.856052;-0.000466;0.812500;0.125000;26;4
0.885948;0.021207;0.843750;0.125000;27;4
0.914459;0.043985;0.875000;0.125000;28;4
0.941583;0.067689;0.906250;0.125000;29;4
0.967333;0.092087;0.937500;0.125000;30;4
0.991736;0.117014;0.968750;0.125000;31;4
1.014828;0.142322;1.000000;0.125000;32;4
-0.024521;0.155896;0.000000;0.156250;0;5
-0.001623;0.131723;0.031250;0.156250;1;5
0.022615;0.107737;0.062500;0.156250;2;5
0.048232;0.084089;0.093750;0.156250;3;5
0.075262;0.060946;0.125000;0.156250;4;5
0.103722;0.038497;0.156250;0.156250;5;5
0.133615;0.016943;0.187500;0.156250;6;5
0.164926;-0.003498;0.218750;0.156250;7;5
0.197617;-0.022597;0.250000;0.156250;8;5
0.231619;-0.040066;0.281250;0.156250;9;5
0.266842;-0.055647;0.312500;0.156250;10;5
0.303181;-0.069165;0.343750;0.156250;11;5
0.340504;-0.080458;0.375000;0.156250;12;5
0.378655;-0.089340;0.406250;0.156250;13;5
0.417455;-0.095721;0.437500;0.156250;14;5
0.456709;-0.099634;0.468750;0.156250;15;5
0.496208;-0.101153;0.500000;0.156250;16;5
0.535728;-0.100505;0.531250;0.156250;17;5
0.575041;-0.097605;0.562500;0.156250;18;5
0.613928;-0.092135;0.593750;0.156250;19;5
0.652184;-0.083820;0.625000;0.156250;20;5
0.689624;-0.072522;0.656250;0.156250;21;5
0.726081;-0.058532;0.687500;0.156250;22;5
0.761414;-0.042262;0.718750;0.156250;23;5
0.795510;-0.024139;0.750000;0.156250;24;5
0.828283;-0.004543;0.781250;0.156250;25;5
0.859674;0.016351;0.812500;0.156250;26;5
0.889645;0.038411;0.843750;0.156250;27;5
0.918182;0.061521;0.875000;0.156250;28;5
0.945287;0.085493;0.906250;0.156250;29;5
0.970978;0.110092;0.937500;0.156250;30;5
0.995287;0.135148;0.968750;0.156250;31;5
1.018256;0.160513;1.000000;0.156250;32;5
-0.027787;0.174899;0.000000;0.187500;0;6
-0.005000;0.150549;0.031250;0.187500;1;6
0.019152;0.126328;0.062500;0.187500;2;6
0.044715;0.102388;0.093750;0.187500;3;6
0.071726;0.078900;0.125000;0.187500;4;6
0.100211;0.056056;0.156250;0.187500;5;6
0.130175;0.034068;0.187500;0.187500;6;6
0.161609;0.013161;0.218750;0.187500;7;6
0.194478;-0.006425;0.250000;0.187500;8;6
0.228713;-0.024400;0.281250;0.187500;9;6
0.264224;-0.040498;0.312500;0.187500;10;6
0.300905;-0.054515;0.343750;0.187500;11;6
0.338620;-0.066265;0.375000;0.187500;12;6
0.377208;-0.075535;0.406250;0.187500;13;6
0.416483;-0.082213;0.437500;0.187500;14;6
0.456239;-0.086305;0.468750;0.187500;15;6
0.496256;-0.087866;0.500000;0.187500;16;6
0.536299;-0.087099;0.531250;0.187500;17;6
0.576124;-0.083929;0.562500;0.187500;18;6
0.615500;-0.078073;0.593750;0.187500;19;6
0.654210;-0.069294;0.625000;0.187500;20;6
0.692058;-0.057492;0.656250;0.187500;21;6
0.728869;-0.042979;0.687500;0.187500;22;6
0.764499;-0.026191;0.718750;0.187500;23;6
0.798829;-0.007577;0.750000;0.187500;24;6
0.831775;0.012484;0.781250;0.187500;25;6
0.863280;0.033812;0.812500;0.187500;26;6
0.893312;0.056264;0.843750;0.187500;27;6
0.921858;0.079708;0.875000;0.187500;28;6
0.948927;0.103950;0.906250;0.187500;29;6
0.974542;0.128750;0.937500;0.187500;30;6
0.998741;0.153937;0.968750;0.187500;31;6
1.021570;0.179358;1.000000;0.187500;32;6
-0.030904;0.194526;0.000000;0.218750;0;7
-0.008243;0.170024;0.031250;0.218750;1;7
0.015807;0.145591;0.062500;0.218750;2;7
0.041299;0.121378;0.093750;0.218750;3;7
0.068275;0.097561;0.125000;0.218750;4;7
0.096767;0.074336;0.156250;0.218750;5;7
0.126787;0.051922;0.187500;0.218750;6;7
0.158328;0.030554;0.218750;0.218750;7;7
0.191361;0.010483;0.250000;0.218750;8;7
0.225818;-0.007999;0.281250;0.218750;9;7
0.261609;-0.024615;0.312500;0.218750;10;7
0.298625;-0.039136;0.343750;0.218750;11;7
0.336730;-0.051345;0.375000;0.218750;12;7
0.375756;-0.061009;0.406250;0.218750;13;7
0.415508;-0.067988;0.437500;0.218750;14;7
0.455771;-0.072263;0.468750;0.218750;15;7
0.496313;-0.073868;0.500000;0.218750;16;7
0.536884;-0.072986;0.531250;0.218750;17;7
0.577227;-0.069553;0.562500;0.218750;18;7
0.617095;-0.063318;0.593750;0.218750;19;7
0.656260;-0.054081;0.625000;0.218750;20;7
0.694514;-0.041778;0.656250;0.218750;21;7
0.731676;-0.026747;0.687500;0.218750;22;7
0.767594;-0.009442;0.718750;0.218750;23;7
0.802147;0.009666;0.750000;0.218750;24;7
0.835253;0.030193;0.781250;0.218750;25;7
0.866858;0.051958;0.812500;0.218750;26;7
0.896932;0.074802;0.843750;0.218750;27;7
0.925470;0.098580;0.875000;0.218750;28;7
0.952485;0.123089;0.906250;0.218750;29;7
0.978007;0.148088;0.937500;0.218750;30;7
1.002078;0.173401;0.968750;0.218750;31;7
1.024751;0.198876;1.000000;0.218750;32;7
-0.033854;0.214794;0.000000;0.250000;0;8
-0.011334;0.190169;0.031250;0.250000;1;8
0.012599;0.165549;0.062500;0.250000;2;8
0.038003;0.141088;0.093750;0.250000;3;8
0.064927;0.116962;0.125000;0.250000;4;8
0.093408;0.093374;0.156250;0.250000;5;8
0.123465;0.070546;0.187500;0.250000;6;8
0.155098;0.048726;0.218750;0.250000;7;8
0.188280;0.028175;0.250000;0.250000;8;8
0.222947;0.009188;0.281250;0.250000;9;8
0.259006;-0.007947;0.312500;0.250000;10;8
0.296351;-0.022972;0.343750;0.250000;11;8
0.334842;-0.035645;0.375000;0.250000;12;8
0.374304;-0.045704;0.406250;0.250000;13;8
0.414535;-0.052987;0.437500;0.250000;14;8
0.455308;-0.057448;0.468750;0.250000;15;8
0.496378;-0.059101;0.500000;0.250000;16;8
0.537482;-0.058109;0.531250;0.250000;17;8
0.578346;-0.054418;0.562500;0.250000;18;8
0.618709;-0.047811;0.593750;0.250000;19;8
0.658329;-0.038123;0.625000;0.250000;20;8
0.696986;-0.025326;0.656250;0.250000;21;8
0.734491;-0.009781;0.687500;0.250000;22;8
0.770688;0.008037;0.718750;0.250000;23;8
0.805452;0.027638;0.750000;0.250000;24;8
0.838702;0.048631;0.781250;0.250000;25;8
0.870390;0.070831;0.812500;0.250000;26;8
0.900490;0.094062;0.843750;0.250000;27;8
0.929001;0.118168;0.875000;0.250000;28;8
0.955944;0.142939;0.906250;0.250000;29;8
0.981354;0.168129;0.937500;0.250000;30;8
1.005280;0.193562;0.968750;0.250000;31;8
1.027782;0.219084;1.000000;0.250000;32;8
-0.036617;0.235668;0.000000;0.281250;0;9
-0.014252;0.210956;0.031250;0.281250;1;9
0.009547;0.186184;0.062500;0.281250;2;9
0.034845;0.161506;0.093750;0.281250;3;9
0.061699;0.137100;0.125000;0.281250;4;9
0.090151;0.113172;0.156250;0.281250;5;9
0.120227;0.089951;0.187500;0.281250;6;9
0.151933;0.067693;0.218750;0.281250;7;9
0.185248;0.046672;0.250000;0.281250;8;9
0.220109;0.027187;0.281250;0.281250;9;9
0.256425;0.009538;0.312500;0.281250;10;9
0.294089;-0.005990;0.343750;0.281250;11;9
0.332959;-0.019126;0.375000;0.281250;12;9
