x;y;u;v;column;row
0.193988;0.031005;0.000000;0.000000;0;0
0.211241;0.021061;0.031250;0.000000;1;0
0.228976;0.011460;0.062500;0.000000;2;0
0.247184;0.002254;0.093750;0.000000;3;0
0.265853;-0.006504;0.125000;0.000000;4;0
0.284967;-0.014761;0.156250;0.000000;5;0
0.304506;-0.022465;0.187500;0.000000;6;0
0.324447;-0.029562;0.218750;0.000000;7;0
0.344762;-0.036004;0.250000;0.000000;8;0
0.365417;-0.041799;0.281250;0.000000;9;0
0.386376;-0.046926;0.312500;0.000000;10;0
0.407600;-0.051299;0.343750;0.000000;11;0
0.429052;-0.054836;0.375000;0.000000;12;0
0.450706;-0.057461;0.406250;0.000000;13;0
0.472510;-0.059107;0.437500;0.000000;14;0
0.494382;-0.059711;0.468750;0.000000;15;0
0.516236;-0.059220;0.500000;0.000000;16;0
0.538010;-0.057561;0.531250;0.000000;17;0
0.559710;-0.054757;0.562500;0.000000;18;0
0.581352;-0.050909;0.593750;0.000000;19;0
0.602954;-0.046127;0.625000;0.000000;20;0
0.624501;-0.040525;0.656250;0.000000;21;0
0.645832;-0.034226;0.687500;0.000000;22;0
0.666755;-0.027356;0.718750;0.000000;23;0
0.687080;-0.020045;0.750000;0.000000;24;0
0.706759;-0.012303;0.781250;0.000000;25;0
0.725876;-0.004084;0.812500;0.000000;26;0
0.744443;0.004559;0.843750;0.000000;27;0
0.762475;0.013569;0.875000;0.000000;28;0
0.779964;0.022892;0.906250;0.000000;29;0
0.796877;0.032472;0.937500;0.000000;30;0
0.813205;0.042258;0.968750;0.000000;31;0
0.828943;0.052197;1.000000;0.000000;32;0
0.187984;0.043951;0.000000;0.031250;0;1
0.205487;0.033717;0.031250;0.031250;1;1
0.223488;0.023819;0.062500;0.031250;2;1
0.241980;0.014311;0.093750;0.031250;3;1
0.260951;0.005249;0.125000;0.031250;4;1
0.280382;-0.003311;0.156250;0.031250;5;1
0.300255;-0.011311;0.187500;0.031250;6;1
0.320550;-0.018697;0.218750;0.031250;7;1
0.341242;-0.025413;0.250000;0.031250;8;1
0.362302;-0.031469;0.281250;0.031250;9;1
0.383687;-0.036841;0.312500;0.031250;10;1
0.405346;-0.041436;0.343750;0.031250;11;1
0.427224;-0.045167;0.375000;0.031250;12;1
0.449276;-0.047953;0.406250;0.031250;13;1
0.471460;-0.049719;0.437500;0.031250;14;1
0.493740;-0.050401;0.468750;0.031250;15;1
0.516018;-0.049940;0.500000;0.031250;16;1
0.538169;-0.048261;0.531250;0.031250;17;1
0.560308;-0.045391;0.562500;0.031250;18;1
0.582562;-0.041434;0.593750;0.031250;19;1
0.604718;-0.036506;0.625000;0.031250;20;1
0.626578;-0.030725;0.656250;0.031250;21;1
0.648116;-0.024220;0.687500;0.031250;22;1
0.669249;-0.017130;0.718750;0.031250;23;1
0.689839;-0.009600;0.750000;0.031250;24;1
0.709857;-0.001647;0.781250;0.031250;25;1
0.729341;0.006777;0.812500;0.031250;26;1
0.748278;0.015632;0.843750;0.031250;27;1
0.766658;0.024874;0.875000;0.031250;28;1
0.784467;0.034448;0.906250;0.031250;29;1
0.801687;0.044287;0.937500;0.031250;30;1
0.818309;0.054335;0.968750;0.031250;31;1
0.834328;0.064539;1.000000;0.031250;32;1
0.181814;0.057485;0.000000;0.062500;0;2
0.199559;0.046953;0.031250;0.062500;1;2
0.217822;0.036747;0.062500;0.062500;2;2
0.236594;0.026925;0.093750;0.062500;3;2
0.255865;0.017547;0.125000;0.062500;4;2
0.275615;0.008672;0.156250;0.062500;5;2
0.295825;0.000362;0.187500;0.062500;6;2
0.316479;-0.007325;0.218750;0.062500;7;2
0.337556;-0.014329;0.250000;0.062500;8;2
0.359030;-0.020657;0.281250;0.062500;9;2
0.380853;-0.026283;0.312500;0.062500;10;2
0.402958;-0.031109;0.343750;0.062500;11;2
0.425279;-0.035040;0.375000;0.062500;12;2
0.447750;-0.037990;0.406250;0.062500;13;2
0.470341;-0.039880;0.437500;0.062500;14;2
0.493051;-0.040641;0.468750;0.062500;15;2
0.515773;-0.040211;0.500000;0.062500;16;2
0.538324;-0.038514;0.531250;0.062500;17;2
0.560912;-0.035577;0.562500;0.062500;18;2
0.583769;-0.031511;0.593750;0.062500;19;2
