x;y;u;v;column;row
0.183048;0.036314;0.000000;0.000000;0;0
0.198757;0.025579;0.031250;0.000000;1;0
0.215058;0.015188;0.062500;0.000000;2;0
0.231944;0.005194;0.093750;0.000000;3;0
0.249405;-0.004350;0.125000;0.000000;4;0
0.267281;-0.013418;0.156250;0.000000;5;0
0.285602;-0.021948;0.187500;0.000000;6;0
0.304641;-0.029824;0.218750;0.000000;7;0
0.324665;-0.036936;0.250000;0.000000;8;0
0.346188;-0.043134;0.281250;0.000000;9;0
0.368907;-0.048429;0.312500;0.000000;10;0
0.391859;-0.052951;0.343750;0.000000;11;0
0.414074;-0.056837;0.375000;0.000000;12;0
0.434876;-0.060170;0.406250;0.000000;13;0
0.454754;-0.062804;0.437500;0.000000;14;0
0.474491;-0.064543;0.468750;0.000000;15;0
0.494867;-0.065197;0.500000;0.000000;16;0
0.516130;-0.064701;0.531250;0.000000;17;0
0.537787;-0.063157;0.562500;0.000000;18;0
0.559511;-0.060633;0.593750;0.000000;19;0
0.580976;-0.057204;0.625000;0.000000;20;0
0.602101;-0.052906;0.656250;0.000000;21;0
0.623004;-0.047740;0.687500;0.000000;22;0
0.643660;-0.041745;0.718750;0.000000;23;0
0.664045;-0.034961;0.750000;0.000000;24;0
0.684117;-0.027436;0.781250;0.000000;25;0
0.703826;-0.019219;0.812500;0.000000;26;0
0.723146;-0.010363;0.843750;0.000000;27;0
0.742054;-0.000919;0.875000;0.000000;28;0
0.760531;0.009056;0.906250;0.000000;29;0
0.778563;0.019510;0.937500;0.000000;30;0
0.796137;0.030389;0.968750;0.000000;31;0
0.813247;0.041641;1.000000;0.000000;32;0
0.177579;0.048794;0.000000;0.031250;0;1
0.193639;0.037998;0.031250;0.031250;1;1
0.210286;0.027501;0.062500;0.031250;2;1
0.227515;0.017355;0.093750;0.031250;3;1
0.245317;0.007617;0.125000;0.031250;4;1
0.263541;-0.001701;0.156250;0.031250;5;1
0.282215;-0.010527;0.187500;0.031250;6;1
0.301590;-0.018707;0.218750;0.031250;7;1
0.321915;-0.026088;0.250000;0.031250;8;1
0.343644;-0.032511;0.281250;0.031250;9;1
0.366491;-0.038001;0.312500;0.031250;10;1
0.389588;-0.042692;0.343750;0.031250;11;1
0.412060;-0.046721;0.375000;0.031250;12;1
0.433298;-0.050164;0.406250;0.031250;13;1
0.453740;-0.052868;0.437500;0.031250;14;1
0.474087;-0.054637;0.468750;0.031250;15;1
0.495034;-0.055286;0.500000;0.031250;16;1
0.516795;-0.054746;0.531250;0.031250;17;1
0.538915;-0.053115;0.562500;0.031250;18;1
0.561089;-0.050465;0.593750;0.031250;19;1
0.583011;-0.046878;0.625000;0.031250;20;1
0.604600;-0.042393;0.656250;0.031250;21;1
0.625948;-0.037022;0.687500;0.031250;22;1
0.647023;-0.030808;0.718750;0.031250;23;1
0.667796;-0.023803;0.750000;0.031250;24;1
0.688224;-0.016054;0.781250;0.031250;25;1
0.708263;-0.007610;0.812500;0.031250;26;1
0.727885;0.001473;0.843750;0.031250;27;1
0.747066;0.011138;0.875000;0.031250;28;1
0.765787;0.021327;0.906250;0.031250;29;1
0.784035;0.031983;0.937500;0.031250;30;1
0.801798;0.043049;0.968750;0.031250;31;1
0.819069;0.054471;1.000000;0.031250;32;1
0.171943;0.061881;0.000000;0.062500;0;2
0.188324;0.050978;0.031250;0.062500;1;2
0.205298;0.040334;0.062500;0.062500;2;2
0.222857;0.030007;0.093750;0.062500;3;2
0.240995;0.020055;0.125000;0.062500;4;2
0.259570;0.010480;0.156250;0.062500;5;2
0.278607;0.001364;0.187500;0.062500;6;2
0.298338;-0.007110;0.218750;0.062500;7;2
0.318988;-0.014759;0.250000;0.062500;8;2
0.340959;-0.021416;0.281250;0.062500;9;2
0.363980;-0.027116;0.312500;0.062500;10;2
0.387268;-0.031991;0.343750;0.062500;11;2
0.410033;-0.036176;0.375000;0.062500;12;2
0.431725;-0.039738;0.406250;0.062500;13;2
0.452736;-0.042519;0.437500;0.062500;14;2
0.473692;-0.044326;0.468750;0.062500;15;2
0.495215;-0.044971;0.500000;0.062500;16;2
0.517490;-0.044388;0.531250;0.062500;17;2
0.540092;-0.042670;0.562500;0.062500;18;2
0.562734;-0.039893;0.593750;0.062500;19;2
0.585130;-0.036142;0.625000;0.062500;20;2
0.607193;-0.031465;0.656250;0.062500;21;2
0.628997;-0.025879;0.687500;0.062500;22;2
0.650501;-0.019437;0.718750;0.062500;23;2
0.671671;-0.012197;0.750000;0.062500;24;2
0.692464;-0.004211;0.781250;0.062500;25;2
0.712839;0.004475;0.812500;0.062500;26;2
0.732768;0.013799;0.843750;0.062500;27;2
0.752226;0.023701;0.875000;0.062500;28;2
0.771195;0.034118;0.906250;0.062500;29;2
0.789661;0.044990;0.937500;0.062500;30;2
0.807613;0.056257;0.968750;0.062500;31;2
0.825045;0.067861;1.000000;0.062500;32;2
0.166135;0.075614;0.000000;0.093750;0;3
0.182811;0.064557;0.031250;0.093750;1;3
0.200089;0.053729;0.062500;0.093750;2;3
0.217965;0.043190;0.093750;0.093750;3;3
0.236432;0.033003;0.125000;0.093750;4;3
0.255361;0.023166;0.156250;0.093750;5;3
0.274773;0.013767;0.187500;0.093750;6;3
0.294878;0.005009;0.218750;0.093750;7;3
0.315878;-0.002907;0.250000;0.093750;8;3
0.338126;-0.009808;0.281250;0.093750;9;3
0.361368;-0.015735;0.312500;0.093750;10;3
0.384895;-0.020810;0.343750;0.093750;11;3
0.407990;-0.025163;0.375000;0.093750;12;3
0.430153;-0.028854;0.406250;0.093750;13;3
0.451738;-0.031720;0.437500;0.093750;14;3
0.473304;-0.033568;0.468750;0.093750;15;3
0.495412;-0.034215;0.500000;0.093750;16;3
0.518216;-0.033589;0.531250;0.093750;17;3
0.541320;-0.031783;0.562500;0.093750;18;3
0.564450;-0.028877;0.593750;0.093750;19;3
0.587335;-0.024958;0.625000;0.093750;20;3
0.609885;-0.020081;0.656250;0.093750;21;3
0.632155;-0.014271;0.687500;0.093750;22;3
0.654100;-0.007590;0.718750;0.093750;23;3
0.675676;-0.000104;0.750000;0.093750;24;3
0.696843;0.008134;0.781250;0.093750;25;3
0.717561;0.017076;0.812500;0.093750;26;3
0.737802;0.026656;0.843750;0.093750;27;3
0.757542;0.036809;0.875000;0.093750;28;3
0.776761;0.047469;0.906250;0.093750;29;3
0.795445;0.058571;0.937500;0.093750;30;3
0.813587;0.070052;0.968750;0.093750;31;3
0.831179;0.081851;1.000000;0.093750;32;3
0.160154;0.090034;0.000000;0.125000;0;4
0.177094;0.078776;0.031250;0.125000;1;4
0.194655;0.067727;0.062500;0.125000;2;4
0.212834;0.056948;0.093750;0.125000;3;4
0.231624;0.046507;0.125000;0.125000;4;4
0.250910;0.036402;0.156250;0.125000;5;4
0.270708;0.026727;0.187500;0.125000;6;4
0.291204;0.017694;0.218750;0.125000;7;4
0.312579;0.009512;0.250000;0.125000;8;4
0.335139;0.002356;0.281250;0.125000;9;4
0.358650;-0.003811;0.312500;0.125000;10;4
0.382463;-0.009104;0.343750;0.125000;11;4
0.405926;-0.013639;0.375000;0.125000;12;4
0.428581;-0.017469;0.406250;0.125000;13;4
0.450745;-0.020428;0.437500;0.125000;14;4
0.472924;-0.022323;0.468750;0.125000;15;4
0.495624;-0.022974;0.500000;0.125000;16;4
0.518976;-0.022307;0.531250;0.125000;17;4
0.542602;-0.020413;0.562500;0.125000;18;4
0.566240;-0.017374;0.593750;0.125000;19;4
0.589632;-0.013282;0.625000;0.125000;20;4
0.612682;-0.008197;0.656250;0.125000;21;4
0.635431;-0.002155;0.687500;0.125000;22;4
0.657825;0.004776;0.718750;0.125000;23;4
0.679818;0.012522;0.750000;0.125000;24;4
0.701367;0.021026;0.781250;0.125000;25;4
0.722435;0.030238;0.812500;0.125000;26;4
0.742994;0.040089;0.843750;0.125000;27;4
0.763017;0.050507;0.875000;0.125000;28;4
0.782488;0.061424;0.906250;0.125000;29;4
0.801393;0.072769;0.937500;0.125000;30;4
0.819723;0.084476;0.968750;0.125000;31;4
0.837475;0.096482;1.000000;0.125000;32;4
0.153998;0.105182;0.000000;0.156250;0;5
0.171164;0.093661;0.031250;0.156250;1;5
0.188979;0.082341;0.062500;0.156250;2;5
0.207443;0.071287;0.093750;0.156250;3;5
0.226548;0.060569;0.125000;0.156250;4;5
0.246193;0.050197;0.156250;0.156250;5;5
0.266392;0.040269;0.187500;0.156250;6;5
0.287304;0.030985;0.218750;0.156250;7;5
0.309084;0.022548;0.250000;0.156250;8;5
0.332005;0.015129;0.281250;0.156250;9;5
0.355847;0.008704;0.312500;0.156250;10;5
0.380008;0.003176;0.343750;0.156250;11;5
0.403884;-0.001557;0.375000;0.156250;12;5
0.427044;-0.005536;0.406250;0.156250;13;5
0.449780;-0.008595;0.437500;0.156250;14;5
0.472560;-0.010543;0.468750;0.156250;15;5
0.495851;-0.011202;0.500000;0.156250;16;5
0.519766;-0.010495;0.531250;0.156250;17;5
0.543937;-0.008511;0.562500;0.156250;18;5
0.568107;-0.005336;0.593750;0.156250;19;5
0.592024;-0.001066;0.625000;0.156250;20;5
0.615589;0.004234;0.656250;0.156250;21;5
0.638828;0.010518;0.687500;0.156250;22;5
0.661683;0.017711;0.718750;0.156250;23;5
0.684102;0.025730;0.750000;0.156250;24;5
0.706042;0.034514;0.781250;0.156250;25;5
0.727467;0.044011;0.812500;0.156250;26;5
0.748348;0.054146;0.843750;0.156250;27;5
0.768659;0.064844;0.875000;0.156250;28;5
0.788383;0.076030;0.906250;0.156250;29;5
0.807507;0.087630;0.937500;0.156250;30;5
0.826025;0.099574;0.968750;0.156250;31;5
0.843933;0.111796;1.000000;0.156250;32;5
0.147664;0.121104;0.000000;0.187500;0;6
0.165020;0.109264;0.031250;0.187500;1;6
0.183063;0.097629;0.062500;0.187500;2;6
0.201793;0.086268;0.093750;0.187500;3;6
0.221205;0.075255;0.125000;0.187500;4;6
0.241212;0.064617;0.156250;0.187500;5;6
0.261824;0.054451;0.187500;0.187500;6;6
0.283173;0.044936;0.218750;0.187500;7;6
0.305387;0.036252;0.250000;0.187500;8;6
0.328714;0.028562;0.281250;0.187500;9;6
0.352944;0.021864;0.312500;0.187500;10;6
0.377512;0.016082;0.343750;0.187500;11;6
0.401843;0.011137;0.375000;0.187500;12;6
0.425525;0.006999;0.406250;0.187500;13;6
0.448832;0.003831;0.437500;0.187500;14;6
0.472208;0.001823;0.468750;0.187500;15;6
0.496095;0.001154;0.500000;0.187500;16;6
0.520590;0.001899;0.531250;0.187500;17;6
0.545329;0.003973;0.562500;0.187500;18;6
0.570056;0.007288;0.593750;0.187500;19;6
0.594518;0.011743;0.625000;0.187500;20;6
0.618612;0.017265;0.656250;0.187500;21;6
0.642354;0.023802;0.687500;0.187500;22;6
0.665681;0.031269;0.718750;0.187500;23;6
0.688536;0.039574;0.750000;0.187500;24;6
0.710874;0.048652;0.781250;0.187500;25;6
0.732663;0.058448;0.812500;0.187500;26;6
0.753870;0.068882;0.843750;0.187500;27;6
0.774471;0.079872;0.875000;0.187500;28;6
0.794449;0.091338;0.906250;0.187500;29;6
0.813792;0.103204;0.937500;0.187500;30;6
0.832495;0.115395;0.968750;0.187500;31;6
0.850557;0.127841;1.000000;0.187500;32;6
0.141152;0.137848;0.000000;0.218750;0;7
0.158678;0.125674;0.031250;0.218750;1;7
0.176931;0.113711;0.062500;0.218750;2;7
0.195915;0.102030;0.093750;0.218750;3;7
0.215627;0.090707;0.125000;0.218750;4;7
0.235995;0.079792;0.156250;0.218750;5;7
0.257024;0.069381;0.187500;0.218750;6;7
0.278820;0.059627;0.218750;0.218750;7;7
0.301483;0.050684;0.250000;0.218750;8;7
0.325235;0.042708;0.281250;0.218750;9;7
0.349882;0.035720;0.312500;0.218750;10;7
0.374888;0.029670;0.343750;0.218750;11;7
0.399707;0.024499;0.375000;0.218750;12;7
0.423943;0.020191;0.406250;0.218750;13;7
0.447849;0.016906;0.437500;0.218750;14;7
0.471847;0.014833;0.468750;0.218750;15;7
0.496354;0.014150;0.500000;0.218750;16;7
0.521456;0.014933;0.531250;0.218750;17;7
