x;y;u;v;column;row
0.177706;0.056699;0.000000;0.000000;0;0
0.194016;0.047076;0.031250;0.000000;1;0
0.210840;0.037664;0.062500;0.000000;2;0
0.228170;0.028517;0.093750;0.000000;3;0
0.245998;0.019687;0.125000;0.000000;4;0
0.264308;0.011227;0.156250;0.000000;5;0
0.283085;0.003193;0.187500;0.000000;6;0
0.302305;-0.004361;0.218750;0.000000;7;0
0.321943;-0.011382;0.250000;0.000000;8;0
0.341963;-0.017871;0.281250;0.000000;9;0
0.362327;-0.023800;0.312500;0.000000;10;0
0.383003;-0.029083;0.343750;0.000000;11;0
0.403960;-0.033635;0.375000;0.000000;12;0
0.425158;-0.037378;0.406250;0.000000;13;0
0.446560;-0.040240;0.437500;0.000000;14;0
0.468122;-0.042156;0.468750;0.000000;15;0
0.489802;-0.043069;0.500000;0.000000;16;0
0.511548;-0.042978;0.531250;0.000000;17;0
0.533302;-0.041929;0.562500;0.000000;18;0
0.555011;-0.039946;0.593750;0.000000;19;0
0.576625;-0.037062;0.625000;0.000000;20;0
0.598093;-0.033316;0.656250;0.000000;21;0
0.619369;-0.028754;0.687500;0.000000;22;0
0.640409;-0.023426;0.718750;0.000000;23;0
0.661173;-0.017391;0.750000;0.000000;24;0
0.681626;-0.010687;0.781250;0.000000;25;0
0.701741;-0.003345;0.812500;0.000000;26;0
0.721492;0.004582;0.843750;0.000000;27;0
0.740855;0.013042;0.875000;0.000000;28;0
0.759812;0.021980;0.906250;0.000000;29;0
0.778348;0.031343;0.937500;0.000000;30;0
0.796452;0.041078;0.968750;0.000000;31;0
0.814116;0.051134;1.000000;0.000000;32;0
0.172361;0.069144;0.000000;0.031250;0;1
0.188890;0.059081;0.031250;0.031250;1;1
0.205953;0.049240;0.062500;0.031250;2;1
0.223542;0.039677;0.093750;0.031250;3;1
0.241649;0.030446;0.125000;0.031250;4;1
0.260259;0.021606;0.156250;0.031250;5;1
0.279356;0.013214;0.187500;0.031250;6;1
0.298917;0.005329;0.218750;0.031250;7;1
0.318916;-0.001993;0.250000;0.031250;8;1
0.339312;-0.008736;0.281250;0.031250;9;1
0.360066;-0.014867;0.312500;0.031250;10;1
0.381146;-0.020301;0.343750;0.031250;11;1
0.402519;-0.024961;0.375000;0.031250;12;1
