x;y;u;v;column;row
0.266667;0.218750;0.266667;0.218750;4;7
0.333333;0.218750;0.333333;0.218750;5;7
0.400000;0.218750;0.400000;0.218750;6;7
0.466667;0.218750;0.466667;0.218750;7;7
0.533333;0.218750;0.533333;0.218750;8;7
0.600000;0.218750;0.600000;0.218750;9;7
0.666667;0.218750;0.666667;0.218750;10;7
0.733333;0.218750;0.733333;0.218750;11;7
0.800000;0.218750;0.800000;0.218750;12;7
0.866667;0.218750;0.866667;0.218750;13;7
0.933333;0.218750;0.933333;0.218750;14;7
1.000000;0.218750;1.000000;0.218750;15;7
0.000000;0.250000;0.000000;0.250000;0;8
0.066667;0.250000;0.066667;0.250000;1;8
0.133333;0.250000;0.133333;0.250000;2;8
0.200000;0.250000;0.200000;0.250000;3;8
0.266667;0.250000;0.266667;0.250000;4;8
0.333333;0.250000;0.333333;0.250000;5;8
0.400000;0.250000;0.400000;0.250000;6;8
0.466667;0.250000;0.466667;0.250000;7;8
0.533333;0.250000;0.533333;0.250000;8;8
0.600000;0.250000;0.600000;0.250000;9;8
0.666667;0.250000;0.666667;0.250000;10;8
0.733333;0.250000;0.733333;0.250000;11;8
0.800000;0.250000;0.800000;0.250000;12;8
0.866667;0.250000;0.866667;0.250000;13;8
0.933333;0.250000;0.933333;0.250000;14;8
1.000000;0.250000;1.000000;0.250000;15;8
0.000000;0.281250;0.000000;0.281250;0;9
0.066667;0.281250;0.066667;0.281250;1;9
0.133333;0.281250;0.133333;0.281250;2;9
0.200000;0.281250;0.200000;0.281250;3;9
0.266667;0.281250;0.266667;0.281250;4;9
0.333333;0.281250;0.333333;0.281250;5;9
0.400000;0.281250;0.400000;0.281250;6;9
0.466667;0.281250;0.466667;0.281250;7;9
0.533333;0.281250;0.533333;0.281250;8;9
0.600000;0.281250;0.600000;0.281250;9;9
0.666667;0.281250;0.666667;0.281250;10;9
0.733333;0.281250;0.733333;0.281250;11;9
0.800000;0.281250;0.800000;0.281250;12;9
0.866667;0.281250;0.866667;0.281250;13;9
0.933333;0.281250;0.933333;0.281250;14;9
1.000000;0.281250;1.000000;0.281250;15;9
0.000000;0.312500;0.000000;0.312500;0;10
0.066667;0.312500;0.066667;0.312500;1;10
